Inw_Laag,Inw_Middellaag,Inw_Middelhoog,Inw_Hoog
3980,3411,5407,3959
7641,7641,7641,7641
3756,3219,4275,2345
5055,4333,10333,8860
1913,1640,3434,3867
7130,6111,10206,5954
991,849,1566,607
4606,3948,7329,5294
2479,2125,5050,3436
1093,937,2350,2145
7,6,8,4
275,235,312,157
837,718,1390,995
448,384,790,530
33,28,124,135
423,363,841,550
103,89,245,215
509,436,523,350
906,776,1353,1240
189,162,341,232
202,173,361,224
496,425,645,355
212,182,285,225
421,361,695,469
343,294,540,401
287,246,611,407
4450,3815,7354,3997
352,302,430,427
163,139,198,197
230,198,327,305
132,113,206,153
650,557,884,773
306,262,466,397
1103,945,1669,1473
3691,3164,4505,4473
1422,1219,2343,2728
3953,3388,6099,9986
1108,949,3705,3665
10246,8783,14679,17365
183,157,278,506
133,114,202,368
367,315,556,1012
319,273,483,879
478,409,723,1318
800,686,1212,2207
851,729,1288,2347
312,267,472,860
411,353,623,1135
199,171,301,549
206,176,312,568
656,562,994,1810
824,706,1247,2272
594,594,594,594
1237,1237,1237,1237
675,579,1002,1790
47,40,69,123
46,39,68,122
78,67,161,140
3144,2695,1851,1213
2559,2194,3117,1416
3009,2579,2932,2299
1718,1473,2048,1532
1719,1474,3520,3400
767,657,1312,1911
653,560,957,572
2175,1865,3188,1907
236,202,374,555
538,461,852,1267
469,402,825,718
1219,1045,2142,1866
115,99,203,177
3822,3822,3822,3822
3736,3203,6410,5159
2330,1997,3554,3084
3260,2795,5123,4347
3270,2803,11689,10829
8058,6907,8210,3463
3817,3272,7508,13678
2900,2486,4629,5452
90430,90430,90430,90430
14710,12608,12900,6479
13349,11442,11153,5610
5064,4341,5127,4010
1625,1393,2758,4749
12244,10495,18667,20394
13001,11144,14602,19850
3896,3340,7402,19805
3853,3302,6772,8904
9529,8168,7562,7813
3123,2677,4701,3983
10374,8892,8179,7573
4493,3851,7034,8744
2210,1895,3250,7504
1548,1327,2678,2186
723,620,2765,2990
2284,1958,3438,2913
1403,1403,1403,1403
1155,812,482,143
24,24,24,24
11,11,11,11
1026,879,891,667
372,319,389,206
857,735,1844,2797
232,232,232,232
117,101,204,166
352,301,612,498
193,165,336,273
221,189,385,313
3,3,6,8
140,120,290,352
400,343,716,803
161,138,287,322
1325,1135,1925,1601
113,97,168,183
396,340,586,640
417,358,760,799
30,26,41,47
205,176,284,323
860,737,1190,1358
87,75,120,137
402,344,568,759
211,181,319,231
1249,1071,2284,1566
1537,1537,1537,1537
2829,2425,2949,7459
3361,2881,5176,4636
2120,1818,6940,15022
13897,11912,8855,7609
1957,1678,2904,5191
1413,1211,2532,3127
1032,885,1653,1690
1276,1093,2508,2335
3899,3342,6175,7106
1686,1445,3009,5639
4061,3481,7248,13584
20302,17401,13441,11322
39200,27582,9029,21539
1174,1006,2626,3221
2282,1956,4181,4761
4582,3928,5279,8496
442,379,940,1001
10987,9417,8975,2817
1237,1061,3028,3797
2035,1744,4657,5537
5809,4979,8005,6057
389,333,660,617
189,162,322,331
162,139,249,265
80,69,160,173
37,32,88,138
1637,1403,2236,1689
1235,1059,2142,1589
256,220,452,563
124,107,220,273
142,122,266,400
186,159,261,309
274,235,362,244
153,131,377,403
65,56,130,120
64,54,186,191
18,18,18,18
533,457,839,694
1288,1104,2029,1677
37,31,75,95
565,484,890,736
1608,1379,2533,2094
48,41,127,206
596,511,639,688
74,63,149,171
237,203,478,551
172,147,264,307
1147,983,1759,2048
567,486,407,180
1700,1457,1220,541
1821,1561,1307,580
707,606,322,465
1433,1228,686,506
2475,2121,1185,873
1237,1060,562,812
1930,1654,877,1268
1864,1597,847,1224
1585,1115,425,727
1513,1064,406,694
1670,1175,448,766
568,487,843,620
3560,1271,964,419
1481,1042,398,680
1290,1105,595,507
1663,1425,767,654
1209,1037,558,476
776,665,1195,564
1423,1220,2191,1034
1920,1645,886,755
752,644,1422,2051
533,457,1009,1455
263,225,556,339
505,433,868,826
1495,1281,2570,2444
425,364,726,649
202,173,374,392
2360,2023,4443,3162
9583,6743,3073,1573
5016,4299,9401,8213
3541,3035,4923,6717
17997,15426,15268,39638
74,64,189,548
6120,5246,8497,5440
1652,1416,1953,1168
4569,3917,6855,3453
3152,2702,5347,3809
1867,1600,3106,1747
4622,3962,8620,7865
1424,1221,2395,1290
795,682,1188,746
66,57,93,84
230,197,282,191
23,23,23,23
300,257,445,328
82,71,53,79
13,13,13,13
444,380,462,485
62,53,65,68
253,217,265,289
42,36,60,288
888,761,994,724
1245,1067,2000,1496
351,301,601,631
274,235,470,493
23,20,58,56
74,64,183,178
226,194,557,490
101,87,144,86
215,184,398,330
578,495,821,488
554,475,787,468
60,51,111,92
83,71,190,142
188,161,357,248
37,32,71,49
280,240,464,395
261,223,487,278
608,521,884,507
50,43,215,157
66,56,115,84
194,166,339,249
123,105,258,223
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18774,16092,10990,5668
113,96,243,159
174,149,447,286
40,34,91,62
29,29,29,29
223,191,483,425
134,115,236,247
64,55,145,162
173,148,461,464
843,723,955,261
177,152,412,464
741,635,1763,879
325,279,423,317
334,286,325,307
197,169,146,68
419,359,277,104
267,229,177,67
126,108,83,31
406,348,670,459
30,26,126,257
91,78,222,198
33,33,33,33
230,198,372,417
39,33,93,99
49,42,89,118
62,53,148,102
46,46,46,46
242,207,381,382
158,135,256,337
162,139,387,362
625,535,895,653
55,47,78,57
680,583,974,711
402,345,576,421
209,179,422,406
123,105,252,144
163,140,444,257
123,106,260,224
97,83,211,143
73,63,144,123
198,170,387,320
473,406,1001,635
36,31,76,48
29,25,49,43
58,49,97,85
93,80,252,261
520,446,876,766
85,73,143,125
636,545,1350,1065
120,103,273,219
163,140,371,297
727,623,1215,961
251,215,454,319
210,180,380,267
599,514,1084,762
620,531,1122,788
139,119,252,177
0,0,0,0
95,81,171,120
664,569,1381,1036
416,356,587,552
124,106,175,165
1357,1163,2502,2544
155,133,287,266
113,97,337,295
82,70,131,115
36,31,58,51
133,114,190,158
294,252,545,505
167,143,318,234
748,641,1070,892
85,73,162,119
57,49,82,69
138,118,422,528
223,191,351,695
580,497,1226,987
147,126,369,241
344,295,861,562
890,763,960,311
523,449,296,185
407,349,437,198
320,275,506,384
1565,1342,1279,639
42,36,95,105
165,141,135,67
77,66,171,190
585,501,858,715
109,94,178,202
84,72,183,174
3827,3280,6744,5901
2611,2238,4911,3253
7706,6605,8604,6510
0,0,0,0
0,0,0,0
0,0,0,0
5661,4852,12171,9322
26347,22583,23858,12719
18653,15988,39439,32128
47422,40648,48245,17279
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37012,31724,42994,27281
17094,14652,24841,61301
2582,2213,3744,7534
31214,26755,46972,74062
47422,40647,50084,81138
23632,20256,27401,54330
15596,13368,20651,34124
28969,24831,62997,128446
31752,27216,39992,42159
14602,12516,17603,5740
71595,71595,71595,71595
56247,48212,85667,97399
54667,19524,10573,2397
27150,23271,28305,53309
7677,6580,11620,27069
24694,21166,32327,14342
20568,17630,26445,29383
11884,10186,45223,47248
35241,30207,44823,19651
48091,41221,72410,65256
77147,66126,103920,75935
61391,52620,123274,130599
50939,43662,85272,61973
47801,40972,87381,59898
26607,22806,70443,79075
64789,55533,114132,89489
14992,12850,28057,29770
37492,32136,57969,38113
23102,19802,40878,69595
44802,38402,80931,59178
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1898,1628,1266,800
9,35,51,29
720,626,570,494
44,31,39,77
654,867,916,704
0,0,0,0
1204,1088,776,380
16,64,92,52
756,852,1084,1508
1104,922,599,244
44,31,39,77
13,9,12,23
777,625,456,265
7,5,6,12
1053,916,630,290
31,36,44,50
444,483,429,283
13,35,48,32
295,377,344,205
247,337,434,514
230,253,363,766
350,405,568,1026
294,296,272,207
803,621,533,460
1048,610,325,76
236,131,86,55
1272,736,484,296
521,420,486,748
2620,2087,1402,662
1155,1088,1079,1023
2092,1287,753,282
370,183,269,1366
3,5,7,5
562,436,452,572
84,16,11,19
1195,909,576,238
850,686,583,474
1,2,2,1
2221,1632,1214,809
312,298,368,562
938,578,666,1329
454,366,423,651
711,1355,1648,1210
1,1,1,1
1325,1183,1255,1441
12,23,28,21
6,11,13,9
1126,1655,1802,1329
19,22,21,15
1981,1792,1167,441
1697,1098,611,169
27,20,27,64
1624,1505,1320,994
706,534,710,1660
5,8,8,5
78,42,52,149
224,135,157,324
71,81,122,296
25,23,34,88
838,998,1276,1702
86,93,141,374
47,51,77,203
18,62,83,44
714,733,967,1633
394,360,468,852
784,756,951,1500
13,16,26,108
13,25,28,17
1,4,7,4
7,22,31,20
290,958,1351,878
200,231,303,447
1384,1495,1577,1480
158,72,83,221
1,2,3,2
26,87,119,68
200,571,752,456
11,31,41,25
170,244,292,271
598,741,635,341
44,416,664,261
1353,1684,1509,885
614,1387,1760,1212
726,891,771,427
87,96,121,166
28,272,433,171
215,244,249,208
199,242,250,200
928,970,909,694
7,43,64,29
6,6,5,5
2,1,1,1
34,30,28,25
1148,1250,979,494
54,219,313,177
452,1032,1312,899
11,24,31,21
463,651,772,723
241,242,284,360
205,229,246,231
778,632,439,223
579,623,511,289
29,48,71,114
276,331,286,161
36,28,42,143
550,565,617,656
201,110,105,159
82,62,95,387
291,307,333,341
684,744,787,736
73,101,143,231
60,70,94,142
47,193,283,173
25,58,74,52
253,286,298,261
109,122,160,247
541,584,459,236
247,266,357,602
23,31,45,81
159,220,340,783
440,663,710,492
38,91,117,79
139,160,226,418
35,111,148,84
14,44,58,33
56,110,133,93
9,17,21,14
0,1,1,1
39,78,95,66
433,932,1160,799
8,17,21,14
0,0,0,0
826,755,709,621
207,197,178,138
20,29,43,82
210,300,450,864
51,27,19,16
98,415,594,315
1005,825,595,330
464,573,559,392
105,197,259,239
1944,1767,1177,475
36,19,13,11
21,19,17,16
249,338,577,2731
214,446,548,379
73,151,186,128
217,293,374,438
8,7,6,6
926,1095,902,468
368,604,776,761
253,527,649,448
28,128,187,100
18,84,122,65
0,0,0,0
100,114,165,350
1495,1156,742,314
1796,1952,1630,948
603,560,427,238
22,29,43,87
1387,1402,949,360
1,2,3,5
3,12,16,8
11,15,19,24
20,26,33,42
250,330,332,232
79,178,232,172
1040,1285,1322,1029
1252,1190,773,276
573,674,532,253
153,203,161,69
501,606,482,226
30,48,54,39
12,41,58,35
824,990,1336,2068
232,273,398,827
341,182,161,217
14,42,57,37
489,536,601,636
84,80,120,344
175,245,298,298
61,77,103,150
492,508,433,277
510,526,449,287
558,576,491,314
574,575,541,435
8,8,10,18
128,114,147,275
603,486,581,967
165,126,158,309
25,20,25,48
319,312,294,243
8,20,25,14
84,64,51,37
1021,779,612,445
52,44,59,123
478,635,602,369
50,46,59,101
773,185,107,94
36,46,50,43
47,115,147,96
39,26,32,67
30,59,71,49
727,729,680,535
26,50,60,42
379,360,376,394
257,320,353,316
50,50,58,70
6,6,6,8
13,14,16,19
1211,1267,1133,787
5,5,6,7
89,234,311,210
233,251,295,353
102,115,111,83
486,458,575,928
606,701,481,166
137,102,122,220
49,36,43,79
486,510,455,314
460,483,431,297
110,142,202,343
112,80,112,324
506,479,447,376
191,198,239,317
153,129,167,325
465,393,508,989
171,114,127,217
43,46,65,138
37,89,112,71
747,872,947,876
421,414,430,432
230,243,285,345
103,125,142,137
59,57,62,70
96,103,121,145
35,62,77,62
0,5,8,6
106,83,105,212
15,57,78,39
26,25,35,77
8,7,6,6
68,57,77,180
63,56,75,146
287,320,360,376
33,26,36,90
400,433,472,472
54,43,59,148
66,59,60,61
50,44,45,46
153,137,137,141
533,489,430,329
101,94,128,267
26,23,21,19
658,651,521,304
297,504,745,1126
655,721,958,1543
792,795,793,716
36,39,52,84
68,171,225,155
2,6,7,5
114,377,518,308
11,23,29,21
1671,1740,1729,1489
18,38,48,33
7,15,18,13
243,253,251,216
363,378,376,324
203,143,142,179
8,64,92,26
607,525,722,1645
41,36,49,111
46,39,54,124
12,8,12,55
74,47,73,345
11,7,11,50
1065,1581,1987,2032
61,69,94,160
313,533,597,404
35,80,129,234
426,373,350,320
158,120,157,353
11,9,11,25
784,762,869,1072
11,8,11,25
6,5,6,14
88,100,129,188
96,82,123,386
64,54,72,157
307,376,442,466
68,69,102,250
39,75,91,66
1966,2426,1924,882
2,5,7,5
38,36,51,113
110,119,157,258
259,279,369,605
253,686,919,616
72,196,263,177
50,56,74,121
25,29,42,79
588,558,476,331
215,180,148,108
383,322,266,197
681,596,559,511
54,32,40,99
513,302,375,937
13,18,31,294
0,0,0,1
50,29,37,91
211,234,265,283
509,577,699,852
41,49,71,147
38,33,31,28
14,13,12,11
1206,1482,1468,1064
497,460,321,144
215,456,599,482
24,21,20,18
94,189,211,120
1517,1038,712,413
1235,838,497,179
40,98,131,98
942,997,961,765
9,8,8,7
782,562,400,243
1825,1282,858,454
1365,885,549,247
1650,1748,1051,257
4408,2534,1393,402
34,30,28,26
31,115,161,93
231,510,816,1417
3,3,3,2
225,1017,1575,1115
419,1105,1451,944
399,190,263,1103
1068,1100,853,445
2306,1151,697,372
1487,1221,890,504
2189,1033,661,452
3451,2240,1274,394
599,1376,1976,1973
788,892,1042,1169
222,341,473,622
1155,1823,2121,1687
496,721,842,731
11,23,25,14
1625,985,631,339
1893,1402,903,404
1,0,0,0
7,6,6,5
14,12,11,10
3,3,3,2
1,1,1,1
6,5,5,4
1676,1122,631,178
4,3,3,3
287,364,443,491
188,207,255,335
19,79,113,63
5,20,28,16
174,169,225,416
172,231,374,1155
425,787,1147,1500
58,60,89,223
1018,865,813,769
2055,1655,1278,845
420,732,846,600
606,661,923,1754
9,15,18,13
9,17,19,14
0,0,0,0
353,410,474,508
255,262,274,264
590,602,564,440
68,69,74,76
308,315,337,344
146,150,156,151
132,140,139,118
2,5,7,5
252,621,803,533
67,74,67,45
24,15,19,44
2003,1514,1535,1898
680,854,990,981
575,595,593,518
379,375,400,421
664,700,664,516
326,376,417,411
123,290,374,258
129,305,394,272
342,806,1040,719
76,71,70,66
458,535,556,469
14,32,42,29
23,54,69,48
72,119,188,402
45,37,50,121
2075,2162,1837,1154
34,31,45,117
218,616,964,1150
5,4,6,13
85,54,81,365
659,807,786,552
65,52,73,193
217,123,111,147
130,119,173,446
1117,1143,1161,1064
122,136,197,421
259,327,357,309
140,158,221,410
316,360,411,433
24,120,184,116
9,81,135,76
280,415,597,936
21,26,35,52
65,70,91,145
361,553,701,709
603,607,640,643
642,511,355,184
34,63,75,52
159,209,264,305
127,150,214,408
141,93,126,365
907,712,562,399
41,84,102,69
295,607,736,496
451,355,280,199
72,60,59,63
1219,1523,1451,956
4,9,11,8
17,35,43,29
11,20,31,62
113,198,311,616
16,63,90,51
451,492,606,800
707,652,451,200
27,29,39,68
560,658,559,311
637,478,344,208
752,942,1065,998
24,110,170,115
128,152,188,230
19,83,120,64
134,110,160,473
8,41,61,32
348,346,391,464
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
100,158,218,279
38,45,69,167
60,52,67,127
98,81,111,262
404,408,453,508
449,460,534,652
23,80,109,61
217,243,293,355
299,380,433,408
425,513,461,279
726,808,877,848
28,32,34,33
10,12,14,13
746,728,841,1062
163,165,208,315
778,718,636,491
666,896,1136,1310
201,271,344,396
249,225,258,346
5,5,5,7
199,198,262,462
232,171,154,155
439,475,417,268
80,93,126,197
24,20,27,66
45,48,42,27
117,120,140,173
683,705,811,962
208,214,238,264
141,86,101,211
94,151,219,330
5,5,7,14
500,511,547,562
46,47,67,152
124,126,181,411
18,18,26,59
1,3,4,2
568,568,641,751
141,594,861,488
62,43,63,211
203,256,388,901
233,265,371,676
273,303,326,307
144,125,168,347
56,184,255,160
1359,970,668,376
448,474,551,656
328,299,254,182
19,131,194,73
403,577,635,491
2350,813,426,142
227,1125,1520,572
1424,1238,1028,737
345,742,1154,1745
34,102,156,160
1909,1864,1337,614
12,39,53,30
180,622,886,571
221,761,1084,699
218,205,226,268
39,121,166,106
76,81,102,146
30,116,156,72
22,144,225,119
3,11,14,7
345,282,373,800
272,242,335,765
112,89,124,326
8,33,45,21
33,134,181,84
173,459,615,421
61,218,303,174
57,64,92,196
798,629,420,198
575,725,649,373
42,53,80,190
779,926,951,769
18,22,33,86
282,342,489,910
104,157,209,249
14,33,43,29
7,9,13,34
203,215,238,250
3076,2226,1863,1632
1258,934,952,1208
1777,1027,884,1027
0,0,0,0
899,913,778,504
1,2,2,1
150,102,144,455
677,592,584,591
109,162,259,648
204,244,365,824
14,20,32,74
2,18,29,12
4,35,55,23
18,26,27,19
853,661,426,182
1792,1014,795,775
1588,1559,1148,558
646,549,505,457
189,174,158,129
1194,913,656,386
103,126,127,94
518,512,522,498
1076,861,573,262
13,13,16,26
1021,1324,1352,990
34,187,273,123
282,303,477,1560
476,940,1469,2503
674,782,884,896
196,240,358,790
187,232,337,660
1180,705,466,280
174,648,826,351
998,1013,871,575
298,496,837,2901
5,19,27,15
98,97,139,319
18,56,76,47
13,109,180,109
354,385,413,399
13,10,14,40
154,172,252,565
24,82,121,86
26,112,163,91
218,307,484,1212
65,76,97,134
744,855,1056,1331
122,170,222,265
6,5,7,18
149,113,143,297
287,130,165,574
350,291,302,358
179,171,181,196
435,510,624,753
110,105,111,120
153,146,155,167
479,437,503,678
131,118,152,273
18,14,21,80
56,51,66,118
13,10,16,58
396,715,886,719
114,83,120,378
38,32,37,58
104,85,107,198
195,251,387,932
379,428,499,561
110,145,219,475
207,251,283,271
903,921,980,994
1265,1477,1184,587
1318,1728,1567,892
476,443,451,457
43,45,51,55
71,56,74,158
17,35,43,29
382,806,992,675
41,39,52,97
267,262,245,198
59,94,138,226
8,26,36,23
25,39,58,95
175,185,254,467
261,678,903,620
466,497,405,228
19,48,64,44
48,66,64,40
1056,1225,981,488
178,302,419,503
263,404,555,711
3,9,12,8
258,156,181,375
2,6,9,6
149,181,218,241
777,1062,1279,1274
32,119,170,102
113,123,166,284
550,324,429,1283
619,434,408,467
145,163,217,346
269,254,201,120
790,825,771,586
20,49,61,39
270,223,273,471
677,623,696,869
28,124,165,67
643,353,428,1074
1,3,4,2
85,65,85,184
2,5,6,3
874,890,983,1077
713,731,693,551
9,20,26,17
277,151,176,401
245,162,131,117
391,214,248,566
90,360,489,230
80,323,438,206
98,72,73,89
18,73,99,47
28,111,150,71
1530,1293,850,356
121,378,531,361
77,72,98,203
368,341,465,963
11,30,39,24
218,491,790,1394
1557,1550,1243,724
32,89,117,73
117,108,147,305
467,506,779,2219
23,16,22,67
0,0,0,0
494,339,474,1450
247,297,334,323
34,158,241,154
76,70,75,85
1196,1362,1396,1173
23,63,85,58
4,11,15,10
25,121,182,105
24,23,32,73
1070,1060,1001,817
87,212,272,179
360,341,286,193
180,272,273,166
10,31,43,28
245,765,1066,702
8,26,36,24
179,233,286,315
20,100,158,113
902,801,647,429
740,853,709,385
117,124,158,232
22,23,30,44
157,167,211,310
89,95,120,176
456,465,448,370
703,745,945,1388
106,143,198,299
353,382,481,677
256,269,275,251
168,128,120,126
110,99,132,268
239,240,288,387
143,139,200,466
1782,1496,1193,814
63,44,58,138
4,11,15,9
122,182,230,238
175,228,287,336
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
#VERW!,#VERW!,#VERW!,#VERW!
14,29,36,24
101,214,265,183
238,429,573,573
295,425,547,616
191,231,339,699
808,636,503,359
1061,948,641,274
640,607,520,366
595,701,662,455
29,37,56,132
63,65,69,69
1161,1200,1277,1275
12,22,27,19
1303,1050,881,697
707,790,603,280
52,52,72,140
290,550,658,466
287,253,244,233
144,99,126,291
122,103,147,389
298,464,688,1147
249,207,155,92
169,129,192,669
111,92,132,362
30,26,35,76
894,939,1130,1464
43,37,49,107
40,34,46,100
42,51,77,186
342,365,445,585
19,70,98,56
165,186,240,349
1643,563,280,51
2388,2113,1391,556
1381,1114,650,183
1036,1029,728,317
2,28,47,18
1178,1036,671,258
42,57,59,42
1072,1362,1511,1344
287,235,229,243
380,400,322,179
1020,1257,1389,1262
417,551,557,392
134,151,199,304
825,933,969,841
1,10,15,7
97,140,214,435
436,477,624,970
292,375,557,1141
1402,1778,1507,774
412,825,1046,814
636,696,756,747
24,59,77,53
420,453,511,557
15,11,15,38
37,27,37,92
167,264,309,248
20,23,32,54
531,527,444,287
761,827,806,641
101,116,160,273
576,530,572,663
576,817,994,976
575,636,846,1361
140,161,211,308
31,39,51,67
73,67,78,105
37,159,228,120
24,27,38,65
22,67,93,59
111,114,177,566
169,175,263,706
34,35,52,141
41,48,70,153
46,38,47,85
530,430,394,370
349,285,354,641
38,40,58,126
65,59,86,233
356,583,762,787
33,35,50,109
263,219,257,394
230,158,198,436
59,103,137,135
1009,1255,1250,907
25,81,115,79
79,72,90,148
958,1006,981,809
239,246,251,233
516,541,528,435
88,77,101,193
328,330,429,712
59,47,61,122
208,207,243,312
240,386,583,1027
204,194,206,220
443,423,447,478
15,15,20,29
107,113,143,214
5,18,26,14
25,66,91,70
445,690,743,506
363,492,628,732
366,614,809,834
1137,900,690,458
151,166,227,398
748,844,663,327
481,485,573,739
245,474,558,372
63,239,330,174
703,719,590,351
506,632,759,822
335,289,255,208
550,567,438,227
38,33,29,23
17,19,23,29
46,26,29,57
602,675,823,1029
963,622,444,305
2,1,1,1
321,364,401,391
79,383,541,240
1125,1533,1892,2012
405,345,414,658
63,50,72,209
527,551,711,1110
111,88,126,368
401,346,390,528
425,337,485,1414
